ID	sample
CLCN6:CDKL4	TCGA-CD-A48C-01A
CLCN6:LRPPRC	TCGA-CD-A48C-01A
CLCN6:NRXN1	TCGA-CD-A48C-01A
CLCN6:ZNF2	TCGA-CD-A48C-01A
CLCN6:CNTNAP5	TCGA-CD-A48C-01A
CLCN6:GYPC	TCGA-CD-A48C-01A
CLCN6:LRP1B	TCGA-CD-A48C-01A
CLCN6:MBD5	TCGA-CD-A48C-01A
CLCN6:FAP	TCGA-CD-A48C-01A
CLCN6:SCN2A	TCGA-CD-A48C-01A
CLCN6:TTN	TCGA-CD-A48C-01A
CLCN6:ZNF804A	TCGA-CD-A48C-01A
CLCN6:DNAH7	TCGA-CD-A48C-01A
CLCN6:CAPN10	TCGA-CD-A48C-01A
CLCN6:FGD5	TCGA-CD-A48C-01A
CLCN6:KAT2B	TCGA-CD-A48C-01A
CLCN6:ZNF385D	TCGA-CD-A48C-01A
CLCN6:ARPP21	TCGA-CD-A48C-01A
CLCN6:TRAK1	TCGA-CD-A48C-01A
CLCN6:EPHA3	TCGA-CD-A48C-01A
CLCN6:EPHA6	TCGA-CD-A48C-01A
CLCN6:IMPG2	TCGA-CD-A48C-01A
CLCN6:EPHB1	TCGA-CD-A48C-01A
CLCN6:TRPC1	TCGA-CD-A48C-01A
CLCN6:U2SURP	TCGA-CD-A48C-01A
CLCN6:P2RY13	TCGA-CD-A48C-01A
CLCN6:BCHE	TCGA-CD-A48C-01A
CLCN6:MECOM	TCGA-CD-A48C-01A
CLCN6:STK32B	TCGA-CD-A48C-01A
CLCN6:SEL1L3	TCGA-CD-A48C-01A
CLCN6:LIMCH1	TCGA-CD-A48C-01A
CLCN6:UGT2B10	TCGA-CD-A48C-01A
CLCN6:SHROOM3	TCGA-CD-A48C-01A
CLCN6:PDHA2	TCGA-CD-A48C-01A
CLCN6:ANK2	TCGA-CD-A48C-01A
CLCN6:PCDH18	TCGA-CD-A48C-01A
CLCN6:TRIML2	TCGA-CD-A48C-01A
CLCN6:6-Mar	TCGA-CD-A48C-01A
CLCN6:DNAH5	TCGA-CD-A48C-01A
CLCN6:PARP8	TCGA-CD-A48C-01A
CLCN6:MAP1B	TCGA-CD-A48C-01A
CLCN6:ADAMTS19	TCGA-CD-A48C-01A
CLCN6:RREB1	TCGA-CD-A48C-01A
CLCN6:COL11A2	TCGA-CD-A48C-01A
CLCN6:DAAM2	TCGA-CD-A48C-01A
CLCN6:KHDRBS2	TCGA-CD-A48C-01A
CLCN6:COL12A1	TCGA-CD-A48C-01A
CLCN6:ARHGAP18	TCGA-CD-A48C-01A
CLCN6:AKAP12	TCGA-CD-A48C-01A
CLCN6:BRAT1	TCGA-CD-A48C-01A
CLCN6:HECW1	TCGA-CD-A48C-01A
CLCN6:GTF2IRD2	TCGA-CD-A48C-01A
CLCN6:ABCB4	TCGA-CD-A48C-01A
CLCN6:TRRAP	TCGA-CD-A48C-01A
CLCN6:RASA4	TCGA-CD-A48C-01A
CLCN6:NUP205	TCGA-CD-A48C-01A
CLCN6:CSMD1	TCGA-CD-A48C-01A
CLCN6:PENK	TCGA-CD-A48C-01A
CLCN6:ZFHX4	TCGA-CD-A48C-01A
CLCN6:CNBD1	TCGA-CD-A48C-01A
CLCN6:NBN	TCGA-CD-A48C-01A
CLCN6:CSMD3	TCGA-CD-A48C-01A
CLCN6:MED30	TCGA-CD-A48C-01A
CLCN6:MYC	TCGA-CD-A48C-01A
CLCN6:BNC2	TCGA-CD-A48C-01A
CLCN6:ASTN2	TCGA-CD-A48C-01A
CLCN6:SETX	TCGA-CD-A48C-01A
CLCN6:CUBN	TCGA-CD-A48C-01A
CLCN6:RET	TCGA-CD-A48C-01A
CLCN6:PCDH15	TCGA-CD-A48C-01A
CLCN6:HERC4	TCGA-CD-A48C-01A
CLCN6:POLR3A	TCGA-CD-A48C-01A
CLCN6:GRID1	TCGA-CD-A48C-01A
CLCN6:CPXM2	TCGA-CD-A48C-01A
CLCN6:OR52N1	TCGA-CD-A48C-01A
CLCN6:ZNF215	TCGA-CD-A48C-01A
CLCN6:OR4C11	TCGA-CD-A48C-01A
CLCN6:C2CD3	TCGA-CD-A48C-01A
CLCN6:PDGFD	TCGA-CD-A48C-01A
PRAMEF18:PRAMEF18	TCGA-CD-A48C-01A
PRAMEF18:CELA2B	TCGA-CD-A48C-01A
PRAMEF18:PADI2	TCGA-CD-A48C-01A
PRAMEF18:ZBTB40	TCGA-CD-A48C-01A
PRAMEF18:TRIM63	TCGA-CD-A48C-01A
PRAMEF18:FPGT-TNNI3K	TCGA-CD-A48C-01A
PRAMEF18:GJA8	TCGA-CD-A48C-01A
PRAMEF18:NBPF11	TCGA-CD-A48C-01A
PRAMEF18:TMOD4	TCGA-CD-A48C-01A
PRAMEF18:LCE1F	TCGA-CD-A48C-01A
PRAMEF18:SHC1	TCGA-CD-A48C-01A
PRAMEF18:CD1C	TCGA-CD-A48C-01A
PRAMEF18:KCNT2	TCGA-CD-A48C-01A
PRAMEF18:ESRRG	TCGA-CD-A48C-01A
PRAMEF18:OR11L1	TCGA-CD-A48C-01A
PRAMEF18:OR2AK2	TCGA-CD-A48C-01A
PRAMEF18:OR2T1	TCGA-CD-A48C-01A
PRAMEF18:TPO	TCGA-CD-A48C-01A
PRAMEF18:CDKL4	TCGA-CD-A48C-01A
PRAMEF18:LRPPRC	TCGA-CD-A48C-01A
PRAMEF18:NRXN1	TCGA-CD-A48C-01A
PRAMEF18:ZNF2	TCGA-CD-A48C-01A
PRAMEF18:CNTNAP5	TCGA-CD-A48C-01A
PRAMEF18:GYPC	TCGA-CD-A48C-01A
PRAMEF18:LRP1B	TCGA-CD-A48C-01A
PRAMEF18:MBD5	TCGA-CD-A48C-01A
PRAMEF18:FAP	TCGA-CD-A48C-01A
PRAMEF18:SCN2A	TCGA-CD-A48C-01A
PRAMEF18:TTN	TCGA-CD-A48C-01A
PRAMEF18:ZNF804A	TCGA-CD-A48C-01A
PRAMEF18:DNAH7	TCGA-CD-A48C-01A
PRAMEF18:CAPN10	TCGA-CD-A48C-01A
PRAMEF18:FGD5	TCGA-CD-A48C-01A
PRAMEF18:KAT2B	TCGA-CD-A48C-01A
PRAMEF18:ZNF385D	TCGA-CD-A48C-01A
PRAMEF18:ARPP21	TCGA-CD-A48C-01A
PRAMEF18:TRAK1	TCGA-CD-A48C-01A
PRAMEF18:EPHA3	TCGA-CD-A48C-01A
PRAMEF18:EPHA6	TCGA-CD-A48C-01A
PRAMEF18:IMPG2	TCGA-CD-A48C-01A
PRAMEF18:EPHB1	TCGA-CD-A48C-01A
PRAMEF18:TRPC1	TCGA-CD-A48C-01A
PRAMEF18:U2SURP	TCGA-CD-A48C-01A
PRAMEF18:P2RY13	TCGA-CD-A48C-01A
PRAMEF18:BCHE	TCGA-CD-A48C-01A
PRAMEF18:MECOM	TCGA-CD-A48C-01A
PRAMEF18:STK32B	TCGA-CD-A48C-01A
PRAMEF18:SEL1L3	TCGA-CD-A48C-01A
PRAMEF18:LIMCH1	TCGA-CD-A48C-01A
PRAMEF18:UGT2B10	TCGA-CD-A48C-01A
PRAMEF18:SHROOM3	TCGA-CD-A48C-01A
