	P3	P5	P7	P11	P13	P14	P16	P17	P19	P22	P24	P27	P30	P34	P39	P43	P52	P53	1148190	1160611	1165043	1165731	1175987	1205142	1232209	1232597	1247392	1258650	1261934	1273598	P2	P4	P9	P15	P18	P20	P21	P23	P25	P26	P33	P40	P45	P50	1161524	1185692	1243837	1313158	1337883	1338283	1398479	1406645	1432057	963764	P1	P12	P35	P37	P41	1161135	1391882	1397993	P36	P42	P51	1293013	1411462	rd_P4_T1	rd_P5_T1	rd_P7_T1	rd_P9_T1	rd_P10_T1	rd_P11_T1	rd_P1_T1	rd_P2_T1	rd_P3_T1	rd_P6_T1	rd_P8_T1	rd_P12_T1	rd_P13_T1	rd_P14_T1	F4	F8	F9	F81	F89_342952	F92_340410	F172	F177
MUC12	0	10.0412	10.3125	0	0	10.0952	10.0078	0	0	10.0222	0	0	10.0645	0	0	0	0	0	0	0	0	0	0	10.0171	0	0	0	0	0	0	0	0	10.0459	0	0	0	10.015	10.1967	0	0	10.0556	0	0	0	0	0	10.0151	0	10.0307	0	0	0	0	0	0	0	0	10.1028	0	0	0	0	0	0	0	0	110.29	0	0	0	0	0	0	10.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR2T2	0	0	0	40.0205	10.1157	0	0	0	40.0566	0	0	0	0	0	0	0	0	0	0	0	0	40.0377	0	0	0	0	0	140.042	0	0	0	0	0	40.0923	0	0	0	0	0	40.0251	0	0	0	0	0	10.0466	0	0	0	0	0	40.1	0	0	40.0585	0	40.0344	0	0	0	0	0	0	40.0495	0	40.1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0404	0	0	0	0	0	0	0	0
MUC17	0	0	0	0	0	10.0119	10.0074	0	0	0	0	0	10.0109	0	0	0	0	0	0	10.0438	0	110.029	0	0	0	0	0	0	110.023	0	0	0	0	0	0	0	10.0158	0	0	0	10.0101	10.0098	0	210.213	10.0127	110.013	110.011	110.018	10.0124	0	0	110.009	0	110.027	0	10.0241	0	10.0157	0	110.016	10.0113	0	0	0	10.1963	0	110.015	0	0	0	0	0	0	0	10.0514	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NBPF1	10.1429	0	0	10.1481	0	0	0	0	10.1429	10.1349	0	0	0	10.2381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.053	0	0	0	10.0875	0	0	40.0833	0	0	0	0	0	0	0	10.1463	10.0114	0	10.1081	0	0	0	10.0865	0	0	0	0	0	0	0	0	0	0	0	10.069	0	0	0	0	10.2041	0	0	0	0	0	0	0	0	0
HERC2	20.12	0	0	0	0	10.1129	10.1702	10.1034	0	0	0	0	10.1264	0	0	0	0	0	0	0	10.12	0	0	0	0	10.2414	0	0	0	0	0	0	0	0	0	0	40.0556	0	0	0	0	0	0	10.3636	0	0	0	0	0	0	0	10.1667	0	0	10.1811	0	10.0814	10.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLG2	0	0	0	0	0	0	10.0074	0	0	0	0	0	0	0	10.2949	10.0693	10.0356	0	0	0	10.0262	0	0	0	0	0	0	0	10.0135	0	0	0	10.2278	0	0	0	0	20.008	0	0	0	0	0	40.1398	0	0	0	0	0	0	0	0	10.0936	0	0	0	0	0	10.0145	0	0	10.0124	0	0	0	0	10.0123	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0124	0	0	0	0	0	0	0	0
FLG	0	0	0	0	0	10.0132	0	0	0	10.0193	10.272	0	0	0	0	240.095	0	0	0	0	0	110.122	0	40.1203	110.093	0	0	110.026	0	0	0	0	0	0	0	0	10.1324	0	0	0	0	0	10.0183	0	10.2691	110.039	110.024	0	0	0	10.0472	140.265	0	0	0	0	0	0	20.0095	0	0	110.011	0	0	0	110.164	0	0	0	0	0	0	10.0244	0	0	0	0	10.2281	10.1268	0	0	0	10.1	0	0	0	0	0	0
TCF7L2	0	0	0	10.344	0	40.0827	0	10.3462	0	0	0	0	40.1526	0	40.2903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2778	10.2697	40.3056	0	0	0	10.5781	0	0	0	0	0	0	0	0	10.2063	10.2159	0	0	0	0	0	0	0	0	10.3264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1	0	10.1
DNAH5	0	0	0	0	0	0	10.369	0	0	10.2292	0	0	0	0	0	10.1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.1774	0	0	0	0	0	0	0	10.2073	0	10.293	0	0	0	0	0	0	0	0	40.1735	10.1519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4524	0	0	10.1419	0	0	10.0962	0	0	0	0	40.1	0	10.1	0
APOB	0	0	0	0	0	10.0903	0	0	0	0	0	0	0	0	0	10.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.359	0	0	0	0	40.0884	0	0	0	0	0	0	10.2333	0	0	0	0	40.0476	0	0	0	10.4118	10.4528	0	0	0	10.14	0	10.1231	0	10.1386	0	0	0	10.1452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
