Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
PGM45	0.244309079544214	0	0.265506707181616	0	0	0.295353343767343	0	0	0	0	0	0	0	0	0	0	0	0	0.0672516153808911	0	0	0	0	0	0	0	0	0	0	0
PGM25	0.400944828859922	0	0.063342062963334	0	0	0	0	0	0	0	0	0	0	0	0.156616641696938	0	0.0652073437181022	0.108637696963342	0	0	0	0	0	0	0	0	0	0	0	0
PGM53	0.477966341140204	0.0986631665282159	0.0721208905177814	0	0	0	0	0	0	0	0	0	0.269353615695755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM7	0.518631905810052	0	0.109461437825994	0	0	0	0	0	0	0	0	0	0	0	0.0707722281746379	0	0.265031501403659	0	0	0	0	0	0	0	0	0	0	0	0	0
PGM65	0.973791674885245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
