Gene	logFC	logCPM	PValue	FDR
RP11-368I23.2	1.45419178579867	7.02495416072012	2.35086379539357e-08	2.11577741585422e-07
RP11-742D12.2	0.847564173961155	6.83679338731751	0.00213727559862573	0.00961774019381579
LINC01224	-0.393055490176403	12.7481175863579	0.0664498685777577	0.199349605733273
RNF44	-0.190994356892638	18.3517000730355	0.369129924075288	0.830542329169399
RAB4B	0.122478246238368	19.1801124297712	0.607814014288423	1
TIGAR	-0.0261777212019625	15.978944267176	0.881921087914087	1
RP11-167B3.1	-0.00116724709497828	5.88586032660056	1	1
AC104071.1	-0.00116724709497828	5.88586032660056	1	1
MIR4802	-0.00116724709497828	5.88586032660056	1	1
